Date;Google trends;Cours;Nombre utilisateurs;Volume transaction;Recherches Youtube;Revenus des mineurs;News du bitcoin;USA unemployment;Gold price
19/11/2013;55.71428571;43.69964664;81.83639158;45.38464676;81.42857143;42.75421146;43;7.0;1272.25
20/11/2013;62.28571429;56.64575972;67.97242771;34.27321363;85.14285714;47.67119519;43;7.0;1271.5
21/11/2013;68.85714286;62.46024735;59.84436545;30.71248851;88.85714286;50.60012944;43;7.0;1248.5
22/11/2013;75.42857143;72.94611307;67.28888462;70.47599419;92.57142857;62.0566403;43;7.0;1241.75
23/11/2013;82;65.80300353;64.62292247;20.87390834;96.28571429;66.66458141;43;7.0;1241.75
24/11/2013;84.57142857;70.08215548;49.64597944;24.32074435;100;70.28549017;41;7.0;1241.75
25/11/2013;87.14285714;73.62014134;56.61927178;18.46806811;98.85714286;71.88229993;41;7.0;1231.75
26/11/2013;89.71428571;80.73763251;69.88855798;30.50317301;97.71428571;68.08934944;41;7.0;1250.75
27/11/2013;92.28571429;86.44081272;79.03785186;35.48262789;96.57142857;78.45977192;41;7.0;1250.75
28/11/2013;94.85714286;94.7729682;86.77250456;36.59296614;95.42857143;90.34444808;41;7.0;1241.75
29/11/2013;97.42857143;100.0229682;77.2177923;38.06268302;94.28571429;98.49119055;41;7.0;1245.25
30/11/2013;100;94.97879859;72.41185513;24.89899185;93.14285714;88.02373574;41;7.0;1245.25
01/12/2013;99.71428571;90.10159011;60.25939091;20.14602708;92;92.72853546;62;6.7;1245.25
02/12/2013;99.42857143;92.57597173;69.22182726;22.6849705;89.57142857;79.38398889;62;6.7;1237.5
03/12/2013;99.14285714;97.08833922;71.69612835;17.96184661;87.14285714;98.82583667;62;6.7;1219.0
04/12/2013;98.85714286;88.30918728;72.35901624;18.35578913;84.71428571;100;62;6.7;1213.0
05/12/2013;98.57142857;90.31537102;78.91680277;27.61129144;82.28571429;86.32890252;62;6.7;1234.0
06/12/2013;98.28571429;57.83922261;67.60687866;33.37991945;79.85714286;92.46867419;62;6.7;1230.75
07/12/2013;98;68.32420495;69.00038428;31.71731029;77.42857143;68.50304435;62;6.7;1230.75
08/12/2013;93.85714286;79.24116608;46.11201845;20.59321088;75;63.67589626;35;6.7;1230.75
09/12/2013;89.71428571;81.44611307;61.31568835;14.42237508;74.71428571;83.17938635;35;6.7;1228.5
10/12/2013;85.57142857;82.79681979;61.67163032;18.45636791;74.42857143;92.35504342;35;6.7;1245.75
11/12/2013;81.42857143;77.06007067;62.28552214;25.8972658;74.14285714;68.69880207;35;6.7;1255.25
12/12/2013;77.28571429;82.22084806;54.67624171;11.70299096;73.85714286;68.81893466;35;6.7;1243.5
13/12/2013;73.14285714;77.54681979;58.114132;12.30013053;73.57142857;71.11764575;35;6.7;1222.75
14/12/2013;69;73.85954064;54.40628302;12.32052537;73.28571429;84.70682068;35;6.7;1222.75
